#Recording frequency [Hz],20
#Number of samples,7255
#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm]
6.44E-05,-0.00014877319
-0.00035485625,-0.00012207031
0.0047333539,-0.00035476685
-0.0019494593,-0.00037384033
0.0038549006,-0.00023651123
-0.0031343997,-0.00017547607
0.0032961667,-0.00083351135
-0.0074582994,0.00011253357
0.0077533424,-0.00021743774
-0.0063996017,-0.0002155304
0.0066454709,-0.00057601929
-0.0092537701,-0.00044441223
0.0056385696,-0.00078010559
-0.0015359819,-0.00067901611
0.0054525435,-0.00063705444
-0.0021519959,0.00038337708
0.0039148629,-0.0014610291
-0.005553931,-0.00089836121
0.0016476214,0.00044631958
-0.0040951073,-0.0010528564
0.0052427351,-0.0018577576
-0.0049887002,0.00040435791
0.0021928251,-0.00010108948
-0.0002592504,-2.29E-05
0.012789339,0.00013923645
0.0027303994,-0.00039291382
-0.0012461245,-0.0011825562
0.0025937259,-0.00079727173
-0.003202647,-0.00041007996
-0.0024374425,-0.00049972534
0.0012693107,-0.00010681152
-0.0014090836,-0.00041770935
0.0015892088,-0.00047874451
-0.000954777,-0.00061416626
0.0069408119,-0.00077819824
-0.015794426,-0.0021400452
0.0064026415,-0.00025558472
0.0042881072,0.00017929077
-0.004260093,0.00042152405
0.0015641153,0.00033378601
0.0067958534,-0.00088500977
0.003184706,-0.00040817261
0.00040480494,-0.00090789795
0.0046366751,0.00085639954
0.0023314059,-0.00088882446
-0.0056692064,-0.001914978
0.0093589723,-0.0011825562
-0.0057809651,-0.00054740906
0.00091430545,-0.00087547302
0.0039025247,-0.00066184998
-0.0084157884,0.00010299683
-0.00040957332,-0.00022506714
0.0015535653,0.00059890747
0.0072384775,-0.00050163269
-0.0044353902,-0.00089645386
-0.0050775111,0.00029373169
0.0011103451,-0.00044059753
-0.0028783977,-0.0018539429
-0.00016877055,4.20E-05
5.99E-06,-3.43E-05
-7.11E-05,-0.00068664551
0.0036123693,-7.63E-06
0.001005441,-0.00043678284
-0.0056358278,7.44E-05
-0.0040865242,-0.00018882751
-0.0036800206,-0.00089645386
0.0073138177,-0.0010147095
0.00081154704,-0.00012207031
0.0062462986,-0.0013427734
-0.0039243996,-0.00045394897
-0.0065523088,-0.00090408325
0.010241121,-0.0010375977
-0.002949208,-0.00032043457
-0.0016388595,-0.00055122375
0.0019332469,-0.00090026855
0.0067826211,-0.00062179565
0.00083991885,-0.0011901855
0.0021416843,-0.0014228821
-0.0015786588,-0.00030136108
0.0035854876,0.00043869019
0.0012926161,0.00069999695
0.0069601238,-0.0023765564
-0.0018803775,-0.00077438354
-0.0028741062,-0.00078773499
-0.0054404438,-0.00046920776
0.002877146,-0.0010108948
-0.0040145814,-0.0004119873
0.0016412437,-0.0016174316
-0.0046572983,-0.00025558472
0.015762597,0.00014686584
0.0030411184,-0.0017986298
0.0074237883,0.00019264221
-0.003715843,-0.0016326904
0.001337558,-0.0012798309
-0.0041885078,0.0003528595
0.012012213,-0.00085067749
-0.0051015317,-0.00062942505
0.005269438,-0.0001449585
-0.010335416,-0.0013179779
-0.00085094571,-0.00056266785
-0.0021775663,0.00032997131
0.0026261508,-0.00043106079
-0.0059784949,-0.00049209595
0.011255115,-0.00035476685
-0.005948931,-0.0014190674
0.0016967356,0.0011310577
-0.0043168366,-0.00033569336
0.0023591816,-0.0020103455
0.0034845769,0.00025939941
0.0061923563,-0.00028991699
-0.0085819066,-0.00051116943
-0.0044989884,-0.00023460388
-0.0042128861,-0.0018882751
0.0071348846,0.00074005127
-0.0044490397,-0.0017662048
0.0027779043,-0.00064849854
-0.0006352365,1.53E-05
0.010815531,-0.00032806396
-0.0083277524,-0.0012149811
0.0055342615,-0.00080490112
-0.0090785325,-0.0011138916
0.013930172,-0.00064468384
-0.0070916116,-0.0013237
0.0087813437,-0.00040435791
-0.0084015429,0.00033950806
0.0029430091,-0.00073623657
-0.013597578,-0.00053787231
-0.00044819713,-2.86E-05
-0.0025666058,0.00020980835
0.0060382187,-0.0012321472
-0.0049916804,-5.91E-05
0.005615741,0.00053024292
0.0004799068,-0.00086402893
0.0065286458,-0.00034332275
-0.014086574,-0.0012130737
-0.00018623471,-0.00061607361
-0.0083865821,-0.00063514709
0.020476788,-0.00019073486
-0.014741033,-0.00071907043
0.0092996657,0.00020980835
-0.0030073822,-0.00078010559
0.0042308867,-0.0014019012
-0.0070004761,0.00034141541
-0.00027212501,-0.00072479248
-0.0080986321,-0.00060653687
0.0070943534,-0.001537323
-0.0010640323,-0.00141716
0.0040010512,-0.00020599365
-0.0043062866,-0.00040626526
0.0021805465,-0.00037956238
-0.0039584339,-0.0010299683
0.0082317293,0.00093078613
-0.011324555,-0.00067520142
0.0033921897,-0.0011787415
-0.016518265,-0.0006980896
0.015709013,-0.0011425018
-0.012069017,2.67E-05
0.0060845912,-5.72E-05
-0.0028466284,0.00023651123
0.0029908121,-0.0012054443
-0.013685495,-0.0013198853
0.0035643876,-0.00087738037
-0.0073450506,-0.00078392029
0.013275713,-0.00054168701
-0.0072531998,-0.0019340515
0.0022408664,-0.0005531311
-0.0034369528,-0.0022010803
0.0084938705,-0.00067520142
0.0013872087,-0.00056838989
0.0071257055,-0.00037384033
-0.0096951425,-0.0002784729
0.01232633,0.00085258484
-0.017352015,-0.0011825562
0.003595084,-0.0010700226
-0.004740566,7.63E-06
0.0022599995,0.00030899048
-0.0088510215,-0.00083732605
0.0069316328,-0.0012054443
-0.0071976483,-0.00070953369
0.0093484223,-0.00044250488
-0.01640144,0.00041770935
0.005364567,-6.48E-05
-0.0018064082,0.0010147095
0.014591306,-0.001247406
-0.0035124123,-9.54E-05
0.006085068,-0.00023651123
-0.0070357025,-0.0009098053
0.008692354,-0.00029754639
-0.0053878725,0.00089836121
0.011099488,-0.0008430481
0.0018469393,2.67E-05
-0.0014201105,-0.0013771057
-0.0046690404,-0.00089836121
0.0081679523,-0.00071716309
-0.010346502,0.00063323975
0.013385087,-0.001033783
-0.010608464,-0.00099563599
0.0070560873,-0.0010757446
-0.003333658,-8.58E-05
0.0082038939,-0.0014228821
-0.0026802719,-0.00091171265
0.00081649423,-0.0011539459
-0.0021972954,-0.00049781799
0.0063908398,-0.0013999939
-0.0064135492,-0.00022125244
0.0038549602,0.00031661987
-0.00060752034,-0.00022506714
0.0074471533,-0.00053787231
-0.0075146258,-0.00050926208
0.0093307793,-0.0016326904
-0.010238081,-0.001083374
-0.0062864125,-0.00067329407
-0.011197537,-0.00033187866
0.0070062578,-0.00059127808
-0.0021397173,-0.00018692017
0.0093802512,-0.00039672852
-0.003069371,-0.0002117157
0.0016412437,-0.0010681152
-0.00051775575,-0.00038528442
-0.0011365712,-0.00034332275
-0.0048287213,-0.00094604492
-6.11E-05,-9.73E-05
-0.0015137494,0.00038719177
0.0059023798,-0.00092506409
-0.0086184442,0.00035476685
0.00045314431,-0.0001335144
-0.0034379065,0.00016212463
0.0040474236,-0.0012874603
-0.0076524913,-7.63E-05
0.0010996759,-0.00047111511
-0.0010876358,0.00037956238
0.004928261,-0.001449585
0.00079926848,-0.0017051697
0.0045084655,-0.00012588501
-0.010961443,-0.0005569458
0.0044701993,0.00061225891
0.0067672431,-0.00084495544
0.0042878687,-0.00011444092
-0.0022545159,-0.00095367432
-0.00060418248,-0.00049591064
0.0031407773,-0.00032997131
0.0021106303,9.92E-05
-0.0044483244,-0.00066184998
-0.0035653412,-0.0005531311
0.0052225292,4.96E-05
-0.003834635,0.00012588501
-0.0044563115,-0.0011501312
-0.0047444999,0.00053024292
0.008626312,-0.0018177032
-0.00031515956,-0.0017738342
-0.00079098344,-0.00062561035
-0.0083836019,-0.0015239716
0.0026219189,5.72E-06
0.0074395239,-0.0004940033
-0.0061770976,-0.00067138672
-0.0041659176,-0.00088310242
-0.0052284896,-0.0010261536
-0.0018435419,-0.00093650818
0.0012277663,0.00084686279
0.0057781637,-0.00089645386
-0.00070163608,-0.0011806488
-0.0053964555,3.43E-05
0.0027050674,-0.00038719177
-0.0012399852,-0.00087738037
0.0022101104,-0.001335144
-0.005107373,-1.34E-05
0.0068980157,-0.00082015991
-0.0081149638,-0.00091743469
0.0020397007,-0.00034713745
-0.0053605735,-0.00028991699
0.011727661,-0.00065040588
-0.0059671104,-0.0016441345
0.0074565709,-0.0013694763
-0.0033600032,-0.00051689148
0.0045079887,-0.0011463165
-0.0080179274,-0.0010852814
0.010784119,-0.00069999695
-0.010190338,0.00019645691
-0.0028513968,-0.00028991699
-0.0045086443,0.00011062622
0.0037373006,-0.00059509277
-0.0087931454,-0.00088119507
0.006064862,-0.00031280518
-0.011061221,-0.00033569336
0.0087936819,-0.0015888214
-0.0047723949,4.58E-05
0.0091976821,-0.00033950806
-0.012192219,-0.0010719299
0.0070309937,-0.00072479248
-0.016581088,-0.00061035156
0.0028515756,-0.00028610229
-0.0043171942,-0.0014419556
-0.00097170472,9.54E-05
-0.0039128363,-0.0014190674
0.0066374838,-0.00054168701
-0.0072233379,0.00041389465
0.0070411265,-0.00075340271
-0.01148209,-0.00070953369
0.012647361,-0.00064849854
-0.0020661056,-3.81E-05
0.00041779876,-0.00014877319
-0.0057545602,-0.00074768066
0.015052646,0.00013542175
-0.0044501722,-0.00032806396
-0.0036878288,0.00068473816
-0.0047866404,-0.0011310577
0.0072535574,-0.0013809204
-0.0032839477,-0.00049591064
0.0059407651,-0.00071525574
-0.015337199,-0.0026607513
0.0090877712,-0.001537323
-0.0097915232,-0.00077056885
0.0096924007,-0.00080299377
-0.010773569,-0.00071144104
0.0081987083,-0.00082015991
-0.0098752081,-0.00096511841
0.007389158,-0.00090408325
0.0021525919,-0.00082397461
0.0030217469,-0.00098991394
-0.0038833916,-0.00092506409
0.0071638525,-3.24E-05
-0.0094341338,9.54E-06
0.0053547323,0.00045013428
-0.01177755,-0.00012207031
0.0076450408,-0.00040054321
-0.010198742,-0.0015945435
0.0045427382,-0.00088310242
-0.0077113807,-0.00036811829
0.0012525022,0.00025367737
-0.0073540509,-0.00028038025
0.0069425404,-0.0010299683
-0.013451666,-0.00039482117
0.0036691129,-0.0010414124
-0.0072710216,-0.0010185242
0.0089799464,-0.00041389465
-0.0073511302,-0.00019264221
0.0082546175,-0.0002746582
-0.0011453927,-0.00075531006
0.0064646304,7.44E-05
0.0040343702,-0.00073814392
0.014205545,-0.00058364868
-0.01014176,-0.0022907257
0.009101063,0.00051498413
-0.001816541,0.0001449585
0.0016375482,-0.00052070618
-0.0053575933,-0.001663208
0.0029453933,-0.00080299377
-0.0024058521,-0.0019378662
-0.00023820996,-0.00081253052
-0.0026444495,-0.00042724609
0.0039490163,-0.0011920929
-0.0042188466,-0.00073051453
0.004966408,-1.14E-05
-0.0034257472,-0.00016021729
0.0014936626,0.00049972534
0.0052359998,6.48E-05
0.0046158135,-0.0013046265
-0.0042237341,-0.001493454
0.011283964,-0.0011348724
-0.0069298446,-0.00039482117
0.002104789,-0.00010299683
0.0015262067,-0.00065612793
-0.00088998675,0.0011539459
